Customer_id,Tenure,NumofProducts,HasCRCard,IsActiveMember,Exited
15634602,2,1,1,1,1
15647311,1,1,0,1,0
15619304,8,3,1,0,1
15701354,1,2,0,0,0
15737888,2,1,1,1,0
15574012,8,2,1,0,1
15592531,7,2,1,1,0
15656148,4,4,1,0,1
15792365,4,2,0,1,0
15592389,2,1,1,1,0
15767821,6,2,0,0,0
15737173,3,2,1,0,0
15632264,10,2,1,0,0
15691483,5,2,0,0,0
15600882,7,2,1,1,0
15643966,3,2,0,1,0
15737452,1,1,1,0,1
15788218,9,2,1,1,0
15661507,6,1,0,0,0
15568982,6,2,1,1,0
15577657,8,2,1,1,0
15597945,8,2,1,0,0
15699309,4,1,1,0,1
15725737,3,2,0,1,0
15625047,5,1,1,1,0
15738191,3,2,0,1,0
15736816,2,1,1,1,0
15700772,9,2,0,0,0
15728693,3,1,1,1,0
15656300,0,2,1,1,0
15589475,3,3,1,0,1
15706552,7,1,0,1,0
15750181,9,2,0,0,0
15659428,6,2,1,1,0
15732963,9,2,1,1,0
15794171,0,1,1,0,1
15788448,3,1,0,1,0
15729599,7,1,0,1,0
15717426,7,1,1,1,0
15585768,6,2,0,1,0
15619360,4,1,1,0,0
15738148,8,1,0,0,1
15687946,2,1,1,1,0
15755196,2,1,0,0,1
15684171,5,1,1,1,0
15754849,4,2,1,1,0
15602280,9,1,1,1,1
15771573,9,1,1,1,1
15766205,2,1,0,1,0
15771873,2,2,1,0,0
15616550,10,2,1,0,0
15768193,5,2,0,0,0
15683553,5,2,0,0,0
15702298,8,1,0,0,1
15569590,1,1,1,0,1
15760861,1,1,1,1,0
15630053,5,1,1,0,0
15647091,0,1,0,0,0
15623944,4,1,1,0,1
15804771,4,1,1,1,0
15651280,5,1,0,0,0
15773469,9,2,0,0,0
15702014,1,2,0,0,0
15751208,8,1,1,1,0
15592461,4,1,1,1,0
15789484,6,2,1,1,0
15696061,1,1,1,0,0
15641582,10,2,1,1,0
15638424,5,2,0,1,0
15755648,8,1,1,0,0
15703793,2,4,1,0,1
15620344,6,1,1,0,0
15812518,0,1,0,1,0
15779052,5,2,1,1,0
15770811,9,2,0,1,0
15780961,1,2,1,0,0
15614049,8,2,1,1,0
15662085,9,1,1,1,0
15575185,5,1,0,1,0
15803136,10,2,1,0,0
15706021,1,2,0,0,0
15663706,2,1,1,0,1
15641732,3,2,0,0,0
15701164,4,1,1,1,0
15738751,4,2,1,0,0
15805254,10,2,1,1,0
15762418,3,1,1,0,1
15625759,9,2,1,0,0
15622897,4,3,1,0,1
15767954,3,2,1,1,0
15757535,5,3,1,1,1
15731511,7,2,1,0,0
15809248,10,2,1,0,0
15640635,8,2,1,1,0
15676966,4,2,0,1,0
15699461,10,1,0,1,0
15738721,9,1,0,1,0
15693683,8,2,1,1,0
15604348,8,2,0,0,0
15633059,9,2,0,0,0
15808582,6,1,1,1,0
15743192,6,2,0,0,0
15580146,9,1,1,0,0
15776605,7,2,1,0,0
15804919,1,1,1,1,1
15613854,4,2,1,1,1
15599195,1,1,1,1,0
15812878,2,1,0,1,0
15602312,5,1,0,0,0
15744689,9,1,1,0,1
15803526,3,1,0,1,0
15665790,7,2,1,0,0
15715951,2,1,0,0,0
15591100,9,1,0,1,0
15609618,9,2,0,1,1
15675522,9,2,1,1,0
15705512,6,1,1,0,0
15698028,1,2,1,0,0
15661670,8,1,1,0,1
15600781,4,2,1,0,0
15682472,8,2,0,0,0
15580203,6,1,0,0,0
15690673,6,2,1,0,0
15760085,10,1,1,1,0
15779659,3,1,0,0,0
15627360,9,1,1,0,1
15671137,1,1,0,1,1
15782688,0,1,1,0,1
15575492,7,2,1,0,0
15591607,9,1,1,0,0
15740404,3,2,1,1,0
15718369,9,1,1,1,0
15677871,9,1,1,1,0
15642004,1,2,0,1,0
15712543,7,2,1,1,0
15584518,5,2,1,1,0
15802381,5,1,0,1,0
15610156,2,1,0,1,0
15594408,2,1,1,0,1
15640905,1,2,0,1,1
15698932,10,1,1,0,0
15724944,7,2,1,1,0
15628145,5,1,1,1,0
15713483,2,1,1,0,1
15612350,5,1,1,0,1
15800703,5,1,1,1,0
15705707,8,2,1,0,0
15754105,5,1,0,0,0
15703264,9,1,1,0,0
15794413,0,2,0,1,0
15650237,7,2,1,0,0
15759618,9,1,1,0,1
15811589,8,2,1,0,0
15689044,2,1,1,0,0
15709368,6,2,1,1,0
15679145,7,1,1,0,1
15655007,7,2,0,0,0
15623595,2,2,1,1,0
15589975,6,1,0,1,0
15804017,4,1,0,0,0
15692132,6,1,0,1,0
15641122,2,2,1,0,0
15630910,7,1,0,0,0
15680772,2,2,1,1,0
15658929,0,1,1,0,1
15585388,9,2,1,1,0
15724623,7,1,1,0,1
15588537,9,1,1,0,0
15574692,2,2,1,0,1
15611325,9,2,0,0,0
15587562,4,1,1,0,0
15613172,5,2,1,0,0
15651022,10,1,1,0,1
15586310,4,1,1,0,0
15625524,5,2,1,1,0
15755209,7,1,1,1,0
15645248,0,2,1,1,0
15790355,5,2,0,0,0
15762615,8,1,0,1,0
15625426,3,1,1,0,1
15716334,2,1,1,1,0
15789669,2,2,1,1,0
15621075,1,2,1,0,0
15810845,2,2,1,1,0
15719377,4,1,1,1,1
15654506,8,2,1,0,0
15771977,1,1,1,0,0
15708710,0,1,0,1,0
15726676,5,2,0,1,0
15587421,7,2,1,0,0
15726931,8,2,0,0,1
15771086,3,2,1,0,0
15756850,1,2,0,0,0
15702741,8,1,1,0,0
15679200,9,2,1,0,0
15594815,3,1,1,1,0
15635905,6,2,1,1,0
15777892,3,1,1,1,0
15656176,10,2,1,1,0
15811127,6,1,1,0,0
15604482,2,1,1,1,0
15622911,4,1,0,1,0
15600974,5,1,0,1,1
15727868,2,2,1,1,1
15627801,3,1,1,0,0
15773039,3,1,1,1,0
15755262,3,1,0,0,1
15679531,5,1,1,1,0
15684181,5,1,1,0,1
15612087,2,1,0,1,0
15752047,2,2,1,0,0
15624592,8,2,1,1,0
15573152,9,2,0,0,0
15594917,1,1,1,1,0
15785542,4,2,0,0,0
15723488,7,1,0,1,1
15680920,7,1,1,0,0
15786308,9,2,0,0,0
15659366,1,2,1,0,1
15774854,8,1,1,1,1
15725311,9,2,1,1,0
15787155,7,1,0,1,0
15727829,2,2,1,1,0
15733247,10,1,1,0,1
15568748,6,1,1,1,1
15699029,4,2,1,0,0
15774393,9,2,1,1,0
15676895,6,3,1,1,1
15637753,2,1,1,0,1
15605461,3,1,1,0,0
15808473,1,2,0,1,0
15627000,0,2,1,0,0
15787174,1,2,0,1,0
15723886,3,2,0,1,0
15704769,5,2,0,1,0
15772896,6,1,1,0,1
15711540,2,1,1,1,0
15764866,3,3,1,0,1
15794056,2,3,1,0,1
15795149,2,2,0,1,0
15812009,4,2,1,0,0
15651001,5,1,1,0,0
15813844,8,2,0,1,0
15596175,6,1,1,1,1
15576269,7,2,1,0,0
15797219,10,1,1,0,1
15685500,7,2,1,0,0
15599792,1,2,1,1,0
15657566,8,1,1,1,0
15772423,8,1,1,0,1
15628112,5,1,0,0,0
15753754,1,2,1,1,0
15793726,0,2,0,1,0
15694717,2,1,1,1,0
15665834,8,1,0,0,0
15765297,0,2,0,1,0
15636684,10,2,1,1,0
15592979,6,2,0,0,0
15750803,6,1,1,1,0
15607178,3,1,1,1,0
15713853,9,2,1,1,0
15673481,6,1,1,0,0
15686776,6,2,1,0,0
15673693,0,1,0,1,0
15700696,9,1,1,1,0
15813163,9,1,1,0,0
15653857,2,2,1,1,0
15777076,7,2,1,0,0
15717398,7,1,0,0,1
15799217,7,1,1,0,0
15787071,9,2,0,1,0
15619955,3,3,1,0,1
15796505,1,2,1,1,0
15725166,8,2,1,0,0
15800116,4,1,0,1,0
15758685,7,2,1,1,0
15694456,3,1,1,1,1
15767339,10,2,1,0,0
15683562,6,1,0,1,0
15782210,1,1,1,0,1
15668893,8,2,1,1,0
15669169,10,2,1,1,0
15643024,4,1,1,1,1
15699389,7,1,1,1,0
15708608,8,2,0,1,0
15626144,7,2,1,0,0
15573112,5,1,1,0,0
15790678,8,1,1,0,0
15727556,5,1,1,1,0
15697307,10,2,1,0,0
15652266,9,1,0,1,0
15607098,5,2,1,0,0
15655774,7,2,1,0,0
15590241,9,1,0,0,1
15785819,3,2,1,1,0
15723654,2,1,1,0,0
15774510,4,1,1,1,0
15684173,7,3,1,0,1
15650068,0,1,1,1,0
15811490,5,2,1,1,0
15803976,10,2,1,0,0
15682541,6,1,0,0,0
15695699,8,2,1,0,0
15624188,6,2,1,1,0
15812191,4,1,0,0,0
15636673,1,1,1,1,0
15594898,2,1,1,1,1
15660211,7,2,1,0,0
15773972,4,1,1,0,1
15746726,8,1,1,0,0
15712287,4,2,1,1,0
15702919,6,1,1,0,0
15674398,3,2,0,0,0
15797960,0,1,1,0,0
15631868,2,1,1,1,0
15581539,3,2,0,0,0
15662736,2,1,1,0,1
15666252,9,2,1,1,0
15677512,3,1,1,0,0
15626114,4,1,1,0,0
15810834,2,1,1,1,0
15678910,8,1,1,1,0
15694408,1,1,1,0,1
15585215,4,2,0,0,0
15682757,3,2,1,0,0
15736601,4,1,1,0,0
15601848,2,2,1,0,0
15736008,9,1,1,0,1
15669064,1,1,1,1,0
15624528,7,2,1,1,0
15598493,7,2,0,1,0
15601274,1,1,1,0,0
15702669,2,2,0,1,0
15728669,8,1,1,0,1
15742668,6,1,1,0,0
15697441,7,1,1,0,1
15740476,3,2,0,1,0
15648064,2,2,1,0,0
15636624,5,1,1,0,1
15807923,10,1,1,0,1
15745844,6,2,0,1,1
15786170,4,1,0,0,0
15681081,5,2,1,1,0
15684484,8,2,0,0,0
15785869,7,2,1,0,0
15763859,7,2,1,0,0
15658935,9,2,1,0,0
15747358,3,1,1,1,0
15735203,1,1,1,1,0
15576256,5,2,1,1,0
15659420,3,2,1,1,0
15593365,2,1,1,1,0
15777352,7,1,1,0,0
15812007,6,2,1,1,0
15625461,1,2,1,1,0
15739438,0,2,1,0,0
15611759,8,2,1,1,0
15661629,9,1,1,0,1
15633950,1,1,1,1,0
15592386,3,2,0,1,0
15803716,3,2,0,1,0
15696674,2,1,0,1,1
15706365,9,1,1,1,0
15745088,9,2,1,0,0
15676715,9,2,1,1,0
15613085,3,1,1,1,0
15633537,9,2,1,0,0
15594720,8,2,1,1,0
15684042,2,2,0,1,0
15583303,2,1,1,0,0
15611579,4,1,1,1,0
15774696,1,2,0,1,0
15694506,0,2,1,1,0
15688074,1,1,1,1,0
15759537,7,2,1,1,0
15758449,8,1,0,1,0
15583456,10,3,1,1,1
15667871,4,1,1,0,0
15677371,2,1,1,0,0
15629677,2,3,0,0,1
15713578,9,2,1,1,0
15591509,7,2,1,0,0
15568240,10,2,0,1,0
15622993,8,2,1,0,0
15689294,3,1,1,0,0
15720910,9,1,1,1,0
15721181,6,2,1,0,0
15776433,2,2,1,1,0
15748936,2,2,0,1,0
15717225,10,2,1,0,0
15685226,7,1,1,1,0
15785611,3,1,1,1,0
15573456,9,2,1,0,1
15684548,8,2,0,0,1
15620505,0,1,1,1,0
15807432,2,2,0,1,0
15584766,3,1,1,1,0
15612187,8,1,1,0,0
15762218,9,2,0,1,0
15646372,1,1,1,0,1
15690452,1,1,1,0,0
15747795,4,1,1,1,0
15781589,8,2,0,1,0
15732674,6,2,0,1,0
15642291,8,2,1,1,0
15692761,9,1,1,0,0
15578045,9,1,0,0,1
15745354,4,2,1,0,0
15701376,10,2,1,1,0
15691625,3,1,1,0,0
15566594,10,2,0,0,0
15760431,1,2,1,1,0
15686302,3,1,1,1,0
15801559,9,3,1,1,1
15810432,8,2,1,0,0
15809616,8,2,0,0,0
15720559,5,1,0,0,1
15695632,9,1,1,1,0
15659843,6,2,0,0,0
15615624,6,2,0,0,0
15810418,3,1,1,0,1
15716186,2,2,1,0,0
15674551,7,1,1,0,1
15622834,4,1,1,0,0
15566111,9,1,1,0,0
15784597,9,1,1,0,0
15652883,10,2,1,0,0
15806964,0,1,1,1,0
15576313,9,1,1,0,0
15806467,1,1,0,0,1
15597602,3,1,1,1,1
15743040,2,2,0,1,0
15705521,0,1,1,0,0
15595039,8,1,1,0,1
15799384,8,1,0,0,0
15581197,3,1,0,1,0
15693737,4,2,1,0,0
15624623,10,2,0,0,0
15783501,2,2,1,0,0
15690134,3,1,1,1,0
15782735,3,1,0,0,0
15611088,9,2,1,0,0
15672145,7,2,1,1,0
15732628,2,1,1,1,0
15787470,3,1,0,0,1
